FirstName,Phone,Notes
John Smith,+1234567890,Important client - follow up ASAP
Jane Doe,+1234567891,Interested in premium package
Bob Johnson,+1234567892,New lead from website contact form
Alice Brown,+1234567893,Returning customer - handle with care
Charlie Wilson,+1234567894,Corporate client - large volume potential
Diana Miller,+1234567895,Requires technical consultation
Eva Garcia,+1234567896,Budget-conscious customer
Frank Davis,+1234567897,Urgent request - respond today
Grace Lee,+1234567898,Referral from existing client
Henry Taylor,+1234567899,Follow up on previous quote
Sarah Chen,+1234567810,International client - timezone considerations
Michael Adams,+1234567811,Small business owner
Lisa Rodriguez,+1234567812,Non-profit organization
David Kim,+1234567813,Government contract inquiry
Emily White,+1234567814,Student discount applicable
